feedback_id,order_id,customer_id,rating,feedback_date,satisfaction_category,comments
1155,1397,275,4,2024-06-10,Positive,Seamless delivery experience and fantastic performance so far.
1156,1398,578,2,2024-04-20,Negative,Expected faster fulfillment given the premium price point.
1157,1399,1398,3,2024-06-18,Neutral,"Decent service overall, communication could be slightly clearer."
1158,1400,371,3,2024-04-29,Neutral,"Decent service overall, communication could be slightly clearer."
1159,1402,437,3,2024-06-21,Neutral,Vehicle is solid. Transit took the full promised duration.
1160,1403,511,5,2024-05-11,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1161,1404,839,5,2024-05-27,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1162,1406,1008,5,2024-07-05,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1163,1407,943,4,2024-04-23,Positive,Arrived earlier than promised! Driver was courteous and professional.
1164,1408,1046,4,2024-05-23,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1165,1409,1072,5,2024-05-01,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1166,1410,1091,5,2024-04-29,Very Positive,Seamless delivery experience and fantastic performance so far.
1167,1411,35,5,2024-05-06,Very Positive,Seamless delivery experience and fantastic performance so far.
1168,1413,464,5,2024-06-06,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1169,1414,984,5,2024-06-25,Very Positive,Seamless delivery experience and fantastic performance so far.
1170,1415,1446,4,2024-05-21,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1171,1416,522,3,2024-05-17,Neutral,Average delivery experience. Vehicle meets expectations.
1172,1418,943,4,2024-05-28,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1173,1419,425,5,2024-06-12,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1174,1420,103,5,2024-04-25,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1175,1421,1336,4,2024-05-17,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1176,1422,508,2,2024-04-29,Negative,Delivery took over a week past the promised date. Very stressful experience.
1177,1423,405,4,2024-06-04,Positive,Arrived earlier than promised! Driver was courteous and professional.
1178,1424,1272,3,2024-06-25,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1179,1425,1329,4,2024-05-20,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1180,1426,329,4,2024-05-04,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1181,1427,198,5,2024-05-29,Very Positive,Seamless delivery experience and fantastic performance so far.
1182,1428,1362,5,2024-04-12,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1183,1429,353,3,2024-07-04,Neutral,Average delivery experience. Vehicle meets expectations.
1184,1430,46,4,2024-05-06,Positive,Arrived earlier than promised! Driver was courteous and professional.
1185,1433,1277,4,2024-06-20,Positive,Seamless delivery experience and fantastic performance so far.
1186,1434,1269,5,2024-04-09,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1187,1435,1457,4,2024-06-22,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1188,1436,338,5,2024-07-02,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1189,1437,992,5,2024-07-09,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1190,1438,47,5,2024-04-11,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1191,1439,707,5,2024-06-05,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1192,1440,1357,3,2024-05-05,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1193,1443,19,5,2024-07-04,Very Positive,Seamless delivery experience and fantastic performance so far.
1194,1444,832,5,2024-04-12,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1195,1445,1010,4,2024-04-10,Positive,Arrived earlier than promised! Driver was courteous and professional.
1196,1446,231,4,2024-05-17,Positive,Seamless delivery experience and fantastic performance so far.
1197,1447,1149,5,2024-06-01,Very Positive,Seamless delivery experience and fantastic performance so far.
1198,1448,847,5,2024-05-29,Very Positive,Seamless delivery experience and fantastic performance so far.
1199,1449,707,5,2024-04-19,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1200,1451,407,3,2024-04-25,Neutral,"Decent service overall, communication could be slightly clearer."
1201,1452,1026,3,2024-05-01,Neutral,"Decent service overall, communication could be slightly clearer."
1202,1453,576,4,2024-06-25,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1203,1454,312,5,2024-06-29,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1204,1455,1087,3,2024-05-04,Neutral,Vehicle is solid. Transit took the full promised duration.
1205,1456,1059,5,2024-05-08,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1206,1457,341,4,2024-06-26,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1207,1459,1520,3,2024-04-22,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1208,1460,1521,5,2024-06-01,Very Positive,Seamless delivery experience and fantastic performance so far.
1209,1461,839,5,2024-05-17,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1210,1462,212,4,2024-04-08,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1211,1463,185,5,2024-05-16,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1212,1464,967,5,2024-04-28,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1213,1466,575,3,2024-06-24,Neutral,"Decent service overall, communication could be slightly clearer."
1214,1467,1120,5,2024-06-09,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1215,1468,248,5,2024-06-04,Very Positive,Seamless delivery experience and fantastic performance so far.
1216,1469,1171,5,2024-04-27,Very Positive,Seamless delivery experience and fantastic performance so far.
1217,1470,740,5,2024-06-21,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1218,1471,504,5,2024-04-07,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1219,1472,1378,4,2024-05-08,Positive,Arrived earlier than promised! Driver was courteous and professional.
1220,1473,905,5,2024-05-21,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1221,1474,188,5,2024-05-20,Very Positive,Seamless delivery experience and fantastic performance so far.
1222,1475,524,3,2024-05-28,Neutral,"Decent service overall, communication could be slightly clearer."
1223,1476,466,5,2024-04-12,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1224,1477,1297,5,2024-05-01,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1225,1478,1497,5,2024-05-31,Very Positive,Seamless delivery experience and fantastic performance so far.
1226,1479,1188,5,2024-04-30,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1227,1480,1354,5,2024-04-12,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1228,1481,26,5,2024-06-18,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1229,1482,1446,5,2024-05-15,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1230,1484,1139,5,2024-04-25,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1231,1485,488,5,2024-07-04,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1232,1486,1509,4,2024-05-27,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1233,1488,87,4,2024-04-28,Positive,Arrived earlier than promised! Driver was courteous and professional.
1234,1489,1413,5,2024-04-06,Very Positive,Seamless delivery experience and fantastic performance so far.
1235,1490,958,5,2024-04-19,Very Positive,Seamless delivery experience and fantastic performance so far.
1236,1493,1548,5,2024-08-28,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1237,1495,1466,4,2024-09-07,Positive,Arrived earlier than promised! Driver was courteous and professional.
1238,1496,1173,2,2024-08-02,Negative,Delivery took over a week past the promised date. Very stressful experience.
1239,1498,1321,5,2024-09-12,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1240,1499,230,1,2024-10-05,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1241,1500,782,5,2024-08-30,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1242,1501,168,1,2024-08-06,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1243,1503,822,3,2024-10-11,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1244,1504,64,4,2024-07-22,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1245,1505,1164,4,2024-09-21,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1246,1506,167,5,2024-08-27,Very Positive,Seamless delivery experience and fantastic performance so far.
1247,1508,566,4,2024-08-05,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1248,1509,1070,1,2024-09-10,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1249,1510,122,,2024-07-10,Unrated,
1250,1511,1318,4,2024-09-18,Positive,Seamless delivery experience and fantastic performance so far.
1251,1512,309,1,2024-07-27,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1252,1513,1593,5,2024-09-29,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1253,1514,1590,4,2024-08-27,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1254,1515,210,5,2024-10-05,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1255,1516,1516,2,2024-07-11,Negative,Poor carrier communication regarding rescheduled drop-off.
1256,1517,998,4,2024-09-19,Positive,Seamless delivery experience and fantastic performance so far.
1257,1518,1382,4,2024-08-20,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1258,1519,962,1,2024-10-05,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1259,1522,605,5,2024-09-09,Very Positive,Seamless delivery experience and fantastic performance so far.
1260,1523,70,3,2024-08-21,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1261,1524,17,5,2024-08-20,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1262,1525,634,4,2024-09-25,Positive,Arrived earlier than promised! Driver was courteous and professional.
1263,1526,154,1,2024-10-10,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1264,1527,310,,2024-09-20,Unrated,
1265,1528,1159,3,2024-09-12,Neutral,Average delivery experience. Vehicle meets expectations.
1266,1529,1546,5,2024-09-10,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1267,1530,1092,5,2024-09-11,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1268,1531,1079,1,2024-07-24,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1269,1532,969,5,2024-07-30,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1270,1534,1342,1,2024-10-11,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1271,1535,729,5,2024-08-12,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1272,1536,743,4,2024-09-14,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1273,1537,1297,4,2024-07-11,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1274,1538,1456,2,2024-09-13,Negative,Expected faster fulfillment given the premium price point.
1275,1539,93,4,2024-08-09,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1276,1540,424,5,2024-07-09,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1277,1542,1321,5,2024-08-03,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1278,1543,1227,4,2024-10-06,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1279,1544,67,2,2024-10-02,Negative,Poor carrier communication regarding rescheduled drop-off.
1280,1545,1152,1,2024-09-22,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1281,1546,181,4,2024-09-02,Positive,Arrived earlier than promised! Driver was courteous and professional.
1282,1547,741,4,2024-09-18,Positive,Seamless delivery experience and fantastic performance so far.
1283,1548,1389,1,2024-09-06,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1284,1549,1360,5,2024-07-16,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1285,1550,1392,1,2024-07-31,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1286,1552,200,1,2024-09-24,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1287,1553,55,5,2024-08-02,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1288,1554,939,1,2024-08-04,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1289,1556,956,1,2024-10-13,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1290,1557,1239,3,2024-09-11,Neutral,Average delivery experience. Vehicle meets expectations.
1291,1558,115,4,2024-08-11,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1292,1559,794,5,2024-08-31,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1293,1560,1327,5,2024-08-08,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1294,1561,1074,5,2024-10-02,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1295,1564,792,1,2024-08-20,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1296,1565,1191,4,2024-09-14,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1297,1566,995,2,2024-08-12,Negative,Delayed transit by several days with vague tracking updates.
1298,1567,44,5,2024-07-14,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1299,1568,946,4,2024-08-08,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1300,1570,887,1,2024-09-16,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1301,1572,1035,5,2024-08-19,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1302,1573,1560,1,2024-09-08,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1303,1574,1390,,2024-10-11,Unrated,
1304,1575,1037,4,2024-09-02,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1305,1576,548,5,2024-08-11,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1306,1577,1280,5,2024-07-28,Very Positive,Seamless delivery experience and fantastic performance so far.
1307,1579,241,,2024-09-20,Unrated,
1308,1580,441,4,2024-09-26,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1309,1581,943,5,2024-09-13,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1310,1582,995,5,2024-08-21,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1311,1584,957,5,2024-08-22,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1312,1585,537,4,2024-08-17,Positive,Arrived earlier than promised! Driver was courteous and professional.
1313,1586,279,3,2024-07-14,Neutral,"Decent service overall, communication could be slightly clearer."
1314,1587,1585,5,2024-09-24,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1315,1588,1010,2,2024-10-02,Negative,Delivery took over a week past the promised date. Very stressful experience.
1316,1589,1261,1,2024-09-16,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1317,1590,1474,1,2024-09-12,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1318,1591,883,2,2024-08-11,Negative,Delayed transit by several days with vague tracking updates.
1319,1592,232,4,2024-08-12,Positive,Arrived earlier than promised! Driver was courteous and professional.
1320,1593,689,5,2024-08-21,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1321,1594,1566,5,2024-10-03,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1322,1595,1013,4,2024-10-08,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1323,1597,857,1,2024-09-23,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1324,1598,88,5,2024-08-08,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1325,1599,581,4,2024-08-03,Positive,Seamless delivery experience and fantastic performance so far.
1326,1601,843,1,2024-08-29,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1327,1602,620,1,2024-09-12,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1328,1603,686,5,2024-09-17,Very Positive,Seamless delivery experience and fantastic performance so far.
1329,1604,1195,3,2024-09-23,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1330,1605,373,4,2024-09-28,Positive,Seamless delivery experience and fantastic performance so far.
1331,1606,1585,1,2024-09-17,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1332,1607,672,1,2024-08-23,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1333,1608,1387,5,2024-09-10,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1334,1609,340,4,2024-09-24,Positive,Arrived earlier than promised! Driver was courteous and professional.
1335,1610,908,4,2024-07-25,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1336,1611,1347,1,2024-08-30,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1337,1612,1454,1,2024-08-08,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1338,1613,1501,,2024-08-03,Unrated,
1339,1614,1341,,2024-08-11,Unrated,
1340,1616,23,4,2024-08-24,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1341,1617,490,5,2024-08-14,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1342,1618,848,5,2024-07-15,Very Positive,Seamless delivery experience and fantastic performance so far.
1343,1619,830,1,2024-07-24,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1344,1620,654,4,2024-08-29,Positive,Seamless delivery experience and fantastic performance so far.
1345,1621,385,4,2024-08-22,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1346,1622,115,3,2024-08-24,Neutral,"Decent service overall, communication could be slightly clearer."
1347,1623,678,5,2024-09-25,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1348,1624,1596,4,2024-09-19,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1349,1625,1434,4,2024-10-12,Positive,Seamless delivery experience and fantastic performance so far.
1350,1626,22,4,2024-07-20,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1351,1629,1000,1,2024-09-22,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1352,1630,685,2,2024-07-27,Negative,Poor carrier communication regarding rescheduled drop-off.
1353,1631,227,4,2024-08-29,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1354,1633,279,4,2024-07-16,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1355,1634,951,5,2024-08-13,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1356,1635,1302,1,2024-09-17,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1357,1637,1480,3,2024-08-12,Neutral,"Decent service overall, communication could be slightly clearer."
1358,1638,489,2,2024-09-14,Negative,Delivery took over a week past the promised date. Very stressful experience.
1359,1639,1253,,2024-08-30,Unrated,
1360,1640,1179,4,2024-09-02,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1361,1641,978,5,2024-09-14,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1362,1642,125,5,2024-07-21,Very Positive,Seamless delivery experience and fantastic performance so far.
1363,1643,943,5,2024-07-18,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1364,1644,988,4,2024-08-17,Positive,Arrived earlier than promised! Driver was courteous and professional.
1365,1645,1030,5,2024-08-01,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1366,1646,386,2,2024-07-17,Negative,Expected faster fulfillment given the premium price point.
1367,1647,944,5,2024-09-14,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1368,1649,1035,5,2024-07-06,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1369,1650,1030,5,2024-08-01,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1370,1651,1408,3,2024-08-13,Neutral,Vehicle is solid. Transit took the full promised duration.
1371,1652,798,2,2024-08-26,Negative,Delivery took over a week past the promised date. Very stressful experience.
1372,1653,128,1,2024-08-14,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1373,1654,1585,1,2024-07-18,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1374,1655,86,3,2024-07-19,Neutral,"Decent service overall, communication could be slightly clearer."
1375,1656,1224,4,2024-07-11,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1376,1657,1442,5,2024-07-26,Very Positive,Seamless delivery experience and fantastic performance so far.
1377,1658,1245,4,2024-09-20,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1378,1659,583,4,2024-08-02,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1379,1660,630,5,2024-09-28,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1380,1661,1369,4,2024-07-22,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1381,1662,667,5,2024-09-30,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1382,1663,516,3,2024-07-29,Neutral,Average delivery experience. Vehicle meets expectations.
1383,1664,918,4,2024-09-05,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1384,1666,1189,5,2024-10-03,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1385,1667,1365,5,2024-07-14,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1386,1668,1130,5,2024-10-05,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1387,1669,82,,2024-09-11,Unrated,
1388,1671,881,2,2024-10-05,Negative,Expected faster fulfillment given the premium price point.
1389,1672,487,4,2024-07-26,Positive,Seamless delivery experience and fantastic performance so far.
1390,1673,690,2,2024-08-29,Negative,Poor carrier communication regarding rescheduled drop-off.
1391,1674,1442,1,2024-07-31,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1392,1675,248,2,2024-09-27,Negative,Expected faster fulfillment given the premium price point.
1393,1676,407,5,2024-07-11,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1394,1677,1397,4,2024-10-02,Positive,Seamless delivery experience and fantastic performance so far.
1395,1679,1191,1,2024-08-31,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1396,1681,1314,2,2024-09-10,Negative,Poor carrier communication regarding rescheduled drop-off.
1397,1682,629,5,2024-08-02,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1398,1683,684,5,2024-07-21,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1399,1684,1002,4,2024-07-27,Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1400,1686,1138,1,2024-08-14,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1401,1687,83,1,2024-08-26,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1402,1688,1476,2,2024-08-20,Negative,Expected faster fulfillment given the premium price point.
1403,1689,862,1,2024-08-19,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1404,1690,714,5,2024-08-24,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1405,1691,1204,1,2024-09-17,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1406,1692,1557,1,2024-10-01,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1407,1695,97,2,2024-08-22,Negative,Poor carrier communication regarding rescheduled drop-off.
1408,1696,1392,5,2024-09-20,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1409,1697,46,5,2024-07-28,Very Positive,Seamless delivery experience and fantastic performance so far.
1410,1699,943,1,2024-08-14,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1411,1700,1126,4,2024-08-01,Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1412,1703,641,4,2024-07-22,Positive,Arrived earlier than promised! Driver was courteous and professional.
1413,1704,649,1,2024-08-22,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1414,1705,1215,3,2024-08-07,Neutral,Average delivery experience. Vehicle meets expectations.
1415,1706,181,5,2024-10-07,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1416,1707,1009,3,2024-10-13,Neutral,"Delivery arrived as scheduled, minor paperwork delay at hand-off."
1417,1708,792,5,2024-07-12,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1418,1709,1152,5,2024-08-07,Very Positive,Seamless delivery experience and fantastic performance so far.
1419,1710,1236,5,2024-08-21,Very Positive,Seamless delivery experience and fantastic performance so far.
1420,1711,214,5,2024-08-24,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1421,1712,530,5,2024-09-11,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1422,1713,538,4,2024-09-19,Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1423,1714,1395,1,2024-10-10,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1424,1715,428,1,2024-08-11,Very Negative,Terrible logistics breakdown. Had to rent a car due to unannounced delivery delays.
1425,1716,751,5,2024-08-28,Very Positive,Seamless delivery experience and fantastic performance so far.
1426,1717,269,1,2024-10-18,Very Negative,Horrible experience! Promised delivery date missed repeatedly. Will not purchase again.
1427,1718,559,5,2024-09-08,Very Positive,Seamless delivery experience and fantastic performance so far.
1428,1720,1284,5,2024-07-31,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1429,1721,1283,1,2024-09-16,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1430,1722,467,4,2024-08-05,Positive,Seamless delivery experience and fantastic performance so far.
1431,1723,1372,5,2024-10-03,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1432,1724,979,1,2024-08-04,Very Negative,Delivery breached SLA by 10 days. Vehicle was sitting at Chicago hub for days with no movement.
1433,1725,1272,5,2024-08-05,Very Positive,Seamless delivery experience and fantastic performance so far.
1434,1726,1129,5,2024-07-09,Very Positive,Arrived earlier than promised! Driver was courteous and professional.
1435,1727,50,5,2024-07-22,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1436,1728,11,2,2024-08-24,Negative,Delivery took over a week past the promised date. Very stressful experience.
1437,1729,214,4,2024-09-04,Positive,Arrived earlier than promised! Driver was courteous and professional.
1438,1730,535,1,2024-09-06,Very Negative,Unacceptable delay! Over two weeks late with zero customer support response.
1439,1731,1391,5,2024-09-02,Very Positive,"Excellent vehicle, smooth delivery process. Highly recommend New Wheels."
1440,1733,225,5,2024-08-11,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1441,1734,797,5,2024-08-12,Very Positive,Seamless delivery experience and fantastic performance so far.
1442,1736,1037,5,2024-08-20,Very Positive,Vehicle delivered in showroom condition. Very impressed with the quick turnaround!
1443,1738,1007,5,2024-07-10,Very Positive,"Delivery on schedule, vehicle is spotless and driving like a dream."
1444,1739,904,4,2024-08-31,Positive,Seamless delivery experience and fantastic performance so far.
